2018-9-2,0,否,否,2018-8-31,2018-8-31,是,否,否,否
2018-9-3,1,是,是,2018-8-31,2018-8-31,否,否,否,否
2018-9-4,1,是,是,2018-9-3,2018-9-3,否,否,否,否
2018-9-5,1,是,是,2018-9-4,2018-9-4,否,否,否,否
2018-9-6,1,是,是,2018-9-5,2018-9-5,否,否,否,否
2018-9-7,1,是,是,2018-9-6,2018-9-6,否,否,否,否
2018-9-8,0,否,否,2018-9-7,2018-9-7,是,否,否,否
2018-9-9,0,否,否,2018-9-7,2018-9-7,是,否,否,否
2018-9-10,1,是,是,2018-9-7,2018-9-7,否,否,否,否
2018-9-11,1,是,是,2018-9-10,2018-9-10,否,否,否,否
2018-9-12,1,是,是,2018-9-11,2018-9-11,否,否,否,否
2018-9-13,1,是,是,2018-9-12,2018-9-12,否,否,否,否
2018-9-14,1,是,是,2018-9-13,2018-9-13,否,否,否,否
2018-9-15,0,否,否,2018-9-14,2018-9-14,是,否,否,否
2018-9-16,0,否,否,2018-9-14,2018-9-14,是,否,否,否
2018-9-17,1,是,是,2018-9-14,2018-9-14,否,否,否,否
2018-9-18,1,是,是,2018-9-17,2018-9-17,否,否,否,否
2018-9-19,1,是,是,2018-9-18,2018-9-18,否,否,否,否
2018-9-20,1,是,是,2018-9-19,2018-9-19,否,否,否,否
2018-9-21,1,是,是,2018-9-20,2018-9-20,否,否,否,否
2018-9-22,0,否,否,2018-9-21,2018-9-21,是,否,否,否
2018-9-23,0,否,否,2018-9-21,2018-9-21,是,否,否,否
2018-9-24,0,否,否,2018-9-21,2018-9-21,否,否,否,否
2018-9-25,1,是,是,2018-9-21,2018-9-21,否,否,否,否
2018-9-26,1,是,是,2018-9-25,2018-9-25,否,否,否,否
2018-9-27,1,是,是,2018-9-26,2018-9-26,否,否,否,否
2018-9-28,1,是,是,2018-9-27,2018-9-27,否,否,否,否
2018-9-29,0,否,是,2018-9-28,2018-9-28,是,否,否,否
2018-9-30,0,否,是,2018-9-28,2018-9-29,是,是,是,否
2018-10-1,0,否,否,2018-9-28,2018-9-30,否,否,否,否
